n_sites,count,Pearsonr,Spearmanr,RMSE,MAE
1,4935,0.6619,0.4844,1.3557,0.9455
2,851,0.6209,0.5481,2.0992,1.5691
3,262,0.7191,0.5454,2.1126,1.6354
4,254,0.6113,0.3877,2.042,1.662
5,136,0.6333,0.576,1.9395,1.5108
6,62,0.6546,0.5143,2.1646,1.7413
7,40,0.5665,0.5764,2.4612,1.9502
8,66,0.4119,0.3381,2.6332,2.2376
9,34,0.625,0.4848,2.6997,2.2106
10,15,0.4566,0.4357,2.8898,2.4007
11,14,0.8261,0.8242,2.07,1.7338
12,4,0.7918,1.0,3.6555,2.2742
13,6,0.8258,0.7143,3.1522,2.1527
14,4,0.5643,0.3162,3.729,3.622
15,4,0.5773,0.2,1.2204,0.9688
16,2,1.0,1.0,3.9937,3.9568
18,1,,,7.4319,7.4319
20,1,,,3.1557,3.1557
22,1,,,4.1872,4.1872
27,2,1.0,1.0,6.3646,5.8505
single(n=1),4935,0.6619,0.4844,1.3557,0.9455
multi(n>1),1759,0.6441,0.5457,2.1701,1.6687
overall(all),6694,0.6625,0.5136,1.6101,1.1355
