stratum,n_interface,n_samples,Pearson,Spearman,RMSE,MAE
n=1,102,4303,0.3807,0.3364,1.1915,0.9265
n=2,25,596,0.4064,0.3856,1.7652,1.4548
n=3,8,138,0.2732,0.2556,2.0117,1.6692
n=4,6,111,0.6767,0.5356,1.817,1.539
n=5,1,50,0.747,0.817,1.2541,1.1105
n=6,0,0,,,,
n=7,0,0,,,,
n=8,4,44,0.6056,0.4982,2.6916,2.4883
n=9,0,0,,,,
n=10,0,0,,,,
n=11,0,0,,,,
n=12,0,0,,,,
n=13,0,0,,,,
n=14,0,0,,,,
n=15,0,0,,,,
n=16,0,0,,,,
n=18,0,0,,,,
n=20,0,0,,,,
n=22,0,0,,,,
n=27,0,0,,,,
single(n=1),102,4303,0.3807,0.3364,1.1915,0.9265
multi(n>1),46,1454,0.3601,0.3617,1.9713,1.6558
overall(all),127,5995,0.3758,0.3409,1.3926,1.0917
