complex,cluster_id,homo_fold,bycx_fold,n_records
3QIB_ABP_CD,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_0,27
2BNR_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_0,26
4OZG_ABJ_GH,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_0,12
4JFE_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_0,6
4JFF_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_0,6
5E9D_AB_CDE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_0,16
3H9S_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_0,1
2UWE_ABC_EF,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_0,1
2JCC_ABC_EF,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_0,1
1AO7_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_1,202
3QDG_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_1,16
3HG1_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_1,8
2AK4_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_1,29
1BD2_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_1,22
4P5T_CD_AB,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_1,35
1MI5_ABC_DE,"1AO7_ABC_DE,1BD2_ABC_DE,1JCK_A_B,1LP9_ABC_EF,1MI5_ABC_DE,1OG",homo_0,split_1,39
